"country","SFTGcode","COW","risk_in_2022","risk_in_2022_23","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr"
"Croatia","CRO",344,0.001605,0.001559,0,0,0,0,1,0,0,3.43398720448515,15.2286271363765,1.97484176581315,0.0794351371246359,1,1,0,0.37,0,1,4,1,4,0,1,1,0.866,0,1,0,1,0.66,-1.66394205991872,0
"Cyprus","CYP",352,0.001594,0.001286,0,0,0,0,1,0,0,4.12713438504509,14.1886198437267,1.51657508881031,0.0387539030149104,1,1,0,0.09,0,1,4,1,4,0,1,1,0.933,0,0,0,0,2.017,-1.1791552753373,0
"Singapore","SIN",830,0.001587,0.001893,0,0,0,1,0,0,0,4.04305126783455,15.5467615150032,1.34164078649987,0.0560714297290375,0,1,1,0.39,0,0,4,1,3,0,1,1,0.51,0,1,0,1,1.005,-0.358708820247372,0
"Macedonia","MAC",343,0.001579,0.001515,0,0,0,0,1,0,0,3.43398720448515,14.5720718777813,2.70554985169374,0,1,1,0,0.5,0,1,4,1,4,0,1,1,0.772,0,1,0,1,-0.422,-0.747739586487909,0
"Armenia","ARM",371,0.00155,0.001286,0,0,0,0,1,0,0,3.43398720448515,14.9746549896255,3.11448230047949,0.0402976432387351,1,1,0,0.13,0,0,4,1,3,0,1,1,0.912,0,1,0,0,0.717,-1.97892063245266,0
"Portugal","POR",235,0.001532,0.001315,0,0,0,0,1,0,0,6.77878489768518,16.1616308961895,1.6431676725155,0.0335496446542128,1,1,0,0.05,0,1,4,1,4,0,1,1,0.955,0,1,0,0,1.249,-1.85780885707335,0
"Sweden","SWD",380,0.001524,0.001314,0,0,0,0,1,0,0,6.21260609575152,16.1726017065175,1.44913767461894,0.0328853976862342,1,1,0,0.06,0,1,4,1,4,0,1,1,0.911,0,1,0,0,1.544,-1.84382507337011,0
"Latvia","LAT",367,0.001457,0.001305,0,0,0,0,1,0,0,3.43398720448515,14.5636767200803,1.84390889145858,0.0302603692672915,1,1,0,0.59,0,1,4,2,4,0,1,1,0.974,0,1,0,0,1.316,-1.41307851978349,0
"Uruguay","URU",165,0.001447,0.001218,0,0,0,0,0,0,0,5.28320372873799,15.1235848408664,2.30217288664427,0.0293118954877889,1,1,0,0.25,0,1,4,1,4,0,1,1,0.873,0,1,0,0,0.648,-2.32922692679919,0
"Solomon Islands","SOL",940,0.001415,0.001195,0,0,0,1,0,0,0,3.78418963391826,13.7597666034948,4.07430975749267,-0.00813937633668375,0,1,0,0.11,0,1,4,1,4,0,1,0,0.829,0,1,0,0,-0.156,-2.20134727625346,0
"Ireland","IRE",205,0.001394,0.001163,0,0,0,0,1,0,0,4.60517018598809,15.4692800656384,1.61245154965971,0.104404898861317,1,1,0,0.12,0,1,4,1,4,0,1,1,0.978,0,1,0,0,1.774,-0.7877544651805,0
"Finland","FIN",375,0.001387,0.001163,0,0,0,0,1,0,0,4.64439089914137,15.5620914391737,1.37840487520902,0.0219567324293149,1,1,0,0.13,0,1,4,1,4,0,1,1,0.971,0,1,0,0,1.899,-1.98431006034577,0
"Denmark","DEN",390,0.001371,0.001121,0,0,0,0,1,0,0,6.96318998587024,15.6150460180364,1.7606816861659,0.0320020931844413,1,1,0,0.08,0,1,4,1,4,0,1,1,0.983,0,1,0,0,1.847,-1.57534156908406,0
"Lithuania","LIT",368,0.001356,0.001142,0,0,0,0,1,0,0,3.43398720448515,14.9194855995136,1.6431676725155,0.0345574944366143,1,1,0,0.32,0,1,4,1,4,0,1,1,0.834,0,1,0,0,1.388,-1.20957407954732,0
"Norway","NOR",385,0.001334,0.001093,0,0,0,0,1,0,0,4.76217393479776,15.5387988682338,1.34164078649987,0.0256498652275064,1,1,0,0.06,0,1,4,1,4,0,1,1,0.912,0,1,0,0,2.383,-2.08788666067684,0
"Estonia","EST",366,0.001188,0.0009736,0,0,0,0,1,0,0,3.43398720448515,14.263248755651,1.30384048104053,0.0621329264319757,1,1,0,0.51,0,1,4,1,4,0,1,1,0.95,0,1,0,0,1.436,-1.18022273030724,0
"Slovenia","SLV",349,0.001181,0.0009459,0,0,0,0,1,0,0,3.43398720448515,14.6634030398317,1.34164078649987,0.0601970517309681,1,1,0,0.22,0,1,4,1,4,0,1,1,0.73,0,1,0,0,1.181,-1.173667419516,0
